ID,Label,Text
5270,ham,Did u fix the teeth?if not do it asap.ok take care.
5268,ham,\ER
5267,ham,Anything lar then �_ not going home 4 dinner?
5266,ham,HI DARLIN ITS KATE ARE U UP FOR DOIN SOMETHIN TONIGHT? IM GOING TO A PUB CALLED THE SWAN OR SOMETHING WITH MY PARENTS FOR ONE DRINK SO PHONE ME IF U CAN
5265,ham,Gud ni8.swt drms.take care
5263,ham,Pls speak with me. I wont ask anything other then you friendship.
5262,ham,Did you see that film:)
5261,ham,I absolutely LOVE South Park! I only recently started watching the office.
5260,ham,If anyone calls for a treadmill say you'll buy it. Make sure its working. I found an ad on Craigslist selling for $ &lt
5259,ham,Can help u swoop by picking u up from wherever ur other birds r meeting if u want.
5258,ham,1 in cbe. 2 in chennai.
5256,ham,Well she's in for a big surprise!
5255,ham,Ok... Sweet dreams...
5254,ham,I didnt get anything da
5253,ham,Please tell me not all of my car keys are in your purse
5252,ham,You do your studies alone without anyones help. If you cant no need to study.
5251,ham,"Yeah work is fine, started last week, all the same stuff as before, dull but easy and guys are fun!"
5249,ham,"K I'm leaving soon, be there a little after 9"
5248,ham,U come n search tat vid..not finishd..
5246,ham,Haven't eaten all day. I'm sitting here staring at this juicy pizza and I can't eat it. These meds are ruining my life.
5245,ham,Thank you princess! I want to see your nice juicy booty...
5244,ham,thanks for the temales it was wonderful. Thank. Have a great week.
5243,ham,Of course ! Don't tease me ... You know I simply must see ! *grins* ... Do keep me posted my prey ... *loving smile* *devouring kiss*
5242,ham,Hmm thinking lor...
5240,ham,"Gud gud..k, chikku tke care.. sleep well gud nyt"
5239,ham,"Jay wants to work out first, how's 4 sound?"
5238,ham,Yeah I can still give you a ride
5235,ham,Am on the uworld site. Am i buying the qbank only or am i buying it with the self assessment also?
5234,ham,Ok cool. See ya then.
5233,ham,Hey what how about your project. Started aha da.
5231,ham,I realise you are a busy guy and i'm trying not to be a bother. I have to get some exams outta the way and then try the cars. Do have a gr8 day
5230,ham,"Nope, I'm still in the market"
5229,ham,It means u could not keep ur words.
5227,ham,I re-met alex nichols from middle school and it turns out he's dealing!
5224,ham,"""\OH FUCK. JUSWOKE UP IN A BED ON A BOATIN THE DOCKS. SLEPT WID 25 YEAR OLD. SPINOUT! GIV U DA GOSSIP L8R. XXX\"""""""""""
5223,ham,If I die I want u to have all my stuffs.
5222,ham,5 nights...We nt staying at port step liao...Too ex
5221,ham,"Jane babes not goin 2 wrk, feel ill after lst nite. Foned in already cover 4 me chuck.:-)"
5220,ham,I have to take exam with in march 3
5219,ham,Pls she needs to dat slowly or she will vomit more.
5218,ham,I accidentally brought em home in the box
5217,ham,Well thats nice. Too bad i cant eat it
5213,ham,3 pa but not selected.
5212,ham,K.k.how is your business now?
5211,ham,It is only yesterday true true.
5210,ham,Dai i downloaded but there is only exe file which i can only run that exe after installing.
5209,ham,"I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop"
5208,ham,Hi.what you think about match?
5207,ham,"Babe, I'm answering you, can't you see me ? Maybe you'd better reboot YM ... I got the photo ... It's great !"
5204,ham,How come she can get it? Should b quite diff to guess rite...
5202,ham,WOT STUDENT DISCOUNT CAN U GET ON BOOKS?
5199,ham,Ugh my leg hurts. Musta overdid it on mon.
5198,ham,She.s fine. I have had difficulties with her phone. It works with mine. Can you pls send her another friend request.
5197,ham,I like cheap! But i���m happy to splash out on the wine if it makes you feel better..
5195,ham,Darren was saying dat if u meeting da ge den we dun meet 4 dinner. Cos later u leave xy will feel awkward. Den u meet him 4 lunch lor.
5194,ham,Ok... Take ur time n enjoy ur dinner...
5193,ham,"It's wylie, you in tampa or sarasota?"
5192,ham,Oh oh... Den muz change plan liao... Go back have to yan jiu again...
5187,ham,WHAT TIME U WRKIN?
5186,ham,I uploaded mine to Facebook
5185,ham,I just cooked a rather nice salmon a la you
5184,ham,I'm in town now so i'll jus take mrt down later.
5183,ham,"Fuuuuck I need to stop sleepin, sup"
5181,ham,K sure am in my relatives home. Sms me de. Pls:-)
5180,ham,"Babe! I fucking love you too !! You know? Fuck it was so good to hear your voice. I so need that. I crave it. I can't get enough. I adore you, Ahmad *kisses*"
5179,ham,"Hi hope u r both ok, he said he would text and he hasn't, have u seen him, let me down gently please "
5177,ham,"Very strange.  and  are watching the 2nd one now but i'm in bed. Sweet dreams, miss u "
5174,ham,Water logging in desert. Geoenvironmental implications.
5173,ham,U 2.
5172,ham,"Aight, text me tonight and we'll see what's up"
5170,ham,I'm in school now n i'll be in da lab doing some stuff give me a call when �_ r done.
5169,ham,Now i'm going for lunch.
5168,ham,"I���ve got some salt, you can rub it in my open wounds if you like!"
5167,ham,Oh did you charge camera
5166,ham,Y she dun believe leh? I tot i told her it's true already. I thk she muz c us tog then she believe.
5165,ham,�� still got lessons?  �� in sch?
5163,ham,Ok leave no need to ask
5162,ham,Just send a text. We'll skype later.
5161,ham,Lol no. I just need to cash in my nitros. Hurry come on before I crash out!
5160,ham,Ok... Then r we meeting later?
5159,ham,No but the bluray player can
5158,ham,I will come with karnan car. Please wait till 6pm will directly goto doctor.
5157,ham,K k:) sms chat with me.
5156,ham,"Sir, I need Velusamy sir's date of birth and company bank facilities details."
5155,ham,MY NEW YEARS EVE WAS OK. I WENT TO A PARTY WITH MY BOYFRIEND. WHO IS THIS SI THEN HEY
5154,ham,"Like  &lt;#&gt; , same question"
5153,ham,Haven't left yet so probably gonna be here til dinner
5152,ham,Idk. I'm sitting here in a stop and shop parking lot right now bawling my eyes out because i feel like i'm a failure in everything. Nobody wants me and now i feel like i'm failing you.
5151,ham,No problem with the renewal. I.ll do it right away but i dont know his details.
5150,ham,"Happy new year to u and ur family...may this new year bring happiness , stability and tranquility to ur vibrant colourful life:):)"
5149,ham,Pls call me da. What happen.
5148,ham,K..then come wenever u lik to come and also tel vikky to come by getting free time..:-)
5146,ham,Oh unintentionally not bad timing. Great. Fingers  the trains play along! Will give fifteen min warning.
5145,ham,Aiyar u so poor thing... I give u my support k... Jia you! I'll think of u...
5144,ham,I'm in office now da:)where are you?
5143,ham,Hi darlin im on helens fone im gonna b up the princes 2 nite please come up tb love Kate
5142,ham,Now that you have started dont stop. Just pray for more good ideas and anything i see that can help you guys i.ll forward you a link.
5140,ham,Yeah I imagine he would be really gentle. Unlike the other docs who treat their patients like turkeys.
5139,ham,Oh shut it. Omg yesterday I had a dream that I had 2 kids both boys. I was so pissed. Not only about the kids but them being boys. I even told mark in my dream that he was changing diapers cause I'm not getting owed in the face.
5138,ham,Yup... I havent been there before... You want to go for the yoga? I can call up to book 
5136,ham,There are some nice pubs near here or there is Frankie n Bennys near the warner cinema?
5135,ham,Sorry * was at the grocers.
5134,ham,Sday only joined.so training we started today:)
5133,ham,"Hmm... Dunno leh, mayb a bag 4 goigng out dat is not too small. Or jus anything except perfume, smth dat i can keep."
5132,ham,it's still not working. And this time i also tried adding zeros. That was the savings. The checking is  &lt
5131,ham,That sucks. I'll go over so u can do my hair. You'll do it free right?
5130,ham,Any way where are you and what doing.
5128,ham,Wot about on wed nite I am 3 then but only til 9!
5127,ham,Cuz ibored. And don wanna study
5126,ham,"To the wonderful Okors, have a great month. We cherish you guys and wish you well each day. MojiBiola"
5125,ham,"After my work ah... Den 6 plus lor... U workin oso rite... Den go orchard lor, no other place to go liao..."
5124,ham,"He is impossible to argue with and he always treats me like his sub, like he never released me ... Which he did and I will remind him of that if necessary"
5123,ham,"Hi Chikku, send some nice msgs"
5122,ham,"""\NOT ENUFCREDEIT TOCALL.SHALL ILEAVE UNI AT 6 +GET A BUS TO YOR HOUSE?\"""""""""""
5121,ham,"Oops I did have it,  &lt;#&gt; ?"
5119,ham,Lol for real. She told my dad I have cancer
5118,ham,Are you driving or training?
5117,ham,Aslamalaikkum....insha allah tohar beeen muht albi mufti mahfuuz...meaning same here....
5116,ham,Thanks. Fills me with complete calm and reassurance! 
5114,ham,Argh why the fuck is nobody in town 
5113,ham,U definitely need a module from e humanities dis sem izzit? U wan 2 take other modules 1st?
5111,ham,I've reached sch already...
5109,ham,Oh you got many responsibilities.
5107,ham,I REALLY NEED 2 KISS U I MISS U MY BABY FROM UR BABY 4EVA
5106,ham,Ding me on ya break fassyole! Blacko from londn
5103,ham,In other news after hassling me to get him weed for a week andres has no money. HAUGHAIGHGTUJHYGUJ
5101,ham,Nope thats fine. I might have a nap tho! 
5100,ham,"Aight, call me once you're close"
5099,ham,"Ah, well that confuses things, doesnt it? I thought was friends with now. Maybe i did the wrong thing but i already sort of invited -tho he may not come cos of money."
5097,ham,Sorry about that this is my mates phone and i didnt write it love Kate
5096,ham,But i'm really really broke oh. No amount is too small even  &lt
5095,ham,K.k.this month kotees birthday know?
5094,ham,"Hi Shanil,Rakhesh here.thanks,i have exchanged the uncut diamond stuff.leaving back. Excellent service by Dino and Prem."
5093,ham,Gokila is talking with you aha:)
5092,ham,"My fri ah... Okie lor,goin 4 my drivin den go shoppin after tt..."
5090,ham,"St andre, virgil's cream"
5089,ham,What type of stuff do you sing?
5088,ham,I wont do anything de.
5087,ham,"Good morning, im suffering from fever and dysentry ..will not be able to come to office today."
5086,ham,Omg if its not one thing its another. My cat has worms :/ when does this bad day end?
5085,ham,Sorry i missed your call. Can you please call back.
5084,ham,Hey happy birthday...
5083,ham,Aiya we discuss later lar... Pick �_ up at 4 is it?
5082,ham,Amazing : If you rearrange these letters it gives the same meaning... Dormitory = Dirty room Astronomer = Moon starer The eyes = They see Election results = Lies lets recount Mother-in-law = Woman Hitler Eleven plus two =Twelve plus one Its Amazing... !:-)
5081,ham,\HI BABE UAWAKE?FEELLIKW SHIT.JUSTFOUND OUT VIA ALETTER THATMUM GOTMARRIED 4thNOV.BEHIND OURBACKS �� FUCKINNICE!SELFISH
5080,ham,"Yeah, give me a call if you've got a minute"
5079,ham,\Keep ur problems in ur heart
5078,ham,Mark works tomorrow. He gets out at 5. His work is by your house so he can meet u afterwards.
5076,ham,"Guy, no flash me now. If you go call me, call me. How madam. Take care oh."
5075,ham,"Well, i'm glad you didn't find it totally disagreeable ... Lol"
